name,description,price,category,eco_rating,image_url,brand,certifications,tags,source_url
Veja - Produit 9033,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Veja. Durable, de haute qualité et respectueux de l'environnement.",97.33,Mode & Accessoires,4.5,https://images.unsplash.com/photo-1585386959984-a41552231693,Veja,Fair Trade;Slow Cosmétique,Réutilisable;Bio;Vegan,https://www.veja-store.com
Ecoalf - Produit 5538,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Ecoalf. Durable, de haute qualité et respectueux de l'environnement.",124.64,Mode & Accessoires,4.6,https://images.unsplash.com/photo-1581847034633-3b84a3a6d4c2,Ecoalf,AB;Origine France,Durable;Réutilisable;Éthique,https://www.ecoalf.com
Veja - Produit 5464,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Veja. Durable, de haute qualité et respectueux de l'environnement.",114.93,Mode & Accessoires,4.8,https://images.unsplash.com/photo-1581847034633-3b84a3a6d4c2,Veja,Fair Trade;AB,Vegan;Durable;Réutilisable,https://www.veja-store.com
Patagonia - Produit 8066,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Patagonia. Durable, de haute qualité et respectueux de l'environnement.",71.72,Mode & Accessoires,4.9,https://images.unsplash.com/photo-1593032457869-6c9b1f518f35,Patagonia,AB;Slow Cosmétique,Réutilisable;Éthique;Durable,https://www.patagonia.com
Ecoalf - Produit 6202,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Ecoalf. Durable, de haute qualité et respectueux de l'environnement.",47.47,Mode & Accessoires,4.5,https://images.unsplash.com/photo-1607083208967-1561a7b92c53,Ecoalf,ECOCERT;B-Corp,Réutilisable;Zéro Déchet;Éthique,https://www.ecoalf.com
Ecoalf - Produit 5094,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Ecoalf. Durable, de haute qualité et respectueux de l'environnement.",96.08,Mode & Accessoires,4.9,https://images.unsplash.com/photo-1593032457869-6c9b1f518f35,Ecoalf,ECOCERT;Slow Cosmétique,Bio;Fabriqué en France;Réutilisable,https://www.ecoalf.com
Patagonia - Produit 2341,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Patagonia. Durable, de haute qualité et respectueux de l'environnement.",58.58,Mode & Accessoires,4.4,https://images.unsplash.com/photo-1600185365483-26d7e9b1d833,Patagonia,Slow Cosmétique;AB,Recyclé;Bio;Durable,https://www.patagonia.com
Patagonia - Produit 2535,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Patagonia. Durable, de haute qualité et respectueux de l'environnement.",76.47,Mode & Accessoires,4.5,https://images.unsplash.com/photo-1514474959185-1472d4c4e676,Patagonia,Origine France;Slow Cosmétique,Durable;Éthique;Zéro Déchet,https://www.patagonia.com
Aglaia - Produit 8041,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Aglaia. Durable, de haute qualité et respectueux de l'environnement.",114.16,Mode & Accessoires,4.9,https://images.unsplash.com/photo-1581847034633-3b84a3a6d4c2,Aglaia,Slow Cosmétique;ECOCERT,Zéro Déchet;Naturel;Éthique,https://www.aglaiaetco.com
Aglaia - Produit 5993,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Aglaia. Durable, de haute qualité et respectueux de l'environnement.",102.98,Mode & Accessoires,5.0,https://images.unsplash.com/photo-1617396900799-b67660d65f91,Aglaia,Slow Cosmétique;AB,Fabriqué en France;Naturel;Éthique,https://www.aglaiaetco.com
Aglaia - Produit 7983,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Aglaia. Durable, de haute qualité et respectueux de l'environnement.",46.95,Mode & Accessoires,4.5,https://images.unsplash.com/photo-1617396900799-b67660d65f91,Aglaia,Fair Trade;AB,Recyclé;Bio;Naturel,https://www.aglaiaetco.com
Aglaia - Produit 8591,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Aglaia. Durable, de haute qualité et respectueux de l'environnement.",56.85,Mode & Accessoires,4.5,https://images.unsplash.com/photo-1581847034633-3b84a3a6d4c2,Aglaia,Slow Cosmétique;Fair Trade,Zéro Déchet;Fabriqué en France;Vegan,https://www.aglaiaetco.com
Ecoalf - Produit 9930,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Ecoalf. Durable, de haute qualité et respectueux de l'environnement.",54.65,Mode & Accessoires,4.6,https://images.unsplash.com/photo-1617396900799-b67660d65f91,Ecoalf,Slow Cosmétique;AB,Recyclé;Durable;Zéro Déchet,https://www.ecoalf.com
Veja - Produit 5253,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Veja. Durable, de haute qualité et respectueux de l'environnement.",61.04,Mode & Accessoires,4.8,https://images.unsplash.com/photo-1585386959984-a41552231693,Veja,Fair Trade;ECOCERT,Vegan;Bio;Fabriqué en France,https://www.veja-store.com
N'Go - Produit 3613,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par N'Go. Durable, de haute qualité et respectueux de l'environnement.",118.66,Mode & Accessoires,4.8,https://images.unsplash.com/photo-1602810318831-7b71bce40bda,N'Go,GOTS;AB,Naturel;Vegan;Éthique,https://www.ngo-shoes.com
Veja - Produit 2526,"Produit écoresponsable de la catégorie mode & accessoires fabriqué par Veja. Durable, de haute qualité et respectueux de l'environnement.",27.62,Mode & Accessoires,4.3,https://images.unsplash.com/photo-1600185365483-26d7e9b1d833,Veja,AB;GOTS,Zéro Déchet;Éthique;Fabriqué en France,https://www.veja-store.com
